feature_set,model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
full_clinical,random_forest,0.9,0.023,0.839,0.019,0.859,0.072,0.848,0.041,0.959,0.009,0.934,0.013
full_clinical,logistic_regression,0.883,0.027,0.792,0.06,0.882,0.027,0.833,0.034,0.945,0.008,0.918,0.005
full_clinical,decision_tree,0.832,0.028,0.703,0.049,0.854,0.053,0.769,0.032,0.912,0.022,0.823,0.042
screening_plus_labs,random_forest,0.819,0.022,0.706,0.037,0.769,0.047,0.735,0.032,0.891,0.025,0.807,0.064
screening,random_forest,0.828,0.025,0.717,0.04,0.786,0.041,0.749,0.036,0.889,0.028,0.812,0.072
screening,logistic_regression,0.823,0.026,0.702,0.048,0.808,0.031,0.75,0.028,0.88,0.029,0.814,0.071
screening_plus_labs,logistic_regression,0.81,0.034,0.687,0.056,0.78,0.053,0.729,0.042,0.869,0.035,0.803,0.064
screening,decision_tree,0.754,0.016,0.6,0.022,0.746,0.039,0.665,0.026,0.82,0.022,0.684,0.063
screening_plus_labs,decision_tree,0.76,0.04,0.613,0.056,0.74,0.078,0.668,0.051,0.814,0.028,0.64,0.039
screening,xgboost,0.811,0.043,0.747,0.085,0.65,0.052,0.694,0.063,0.865,0.023,0.764,0.079
screening_plus_labs,xgboost,0.811,0.048,0.742,0.102,0.661,0.081,0.697,0.08,0.882,0.019,0.767,0.078
full_clinical,xgboost,0.917,0.023,0.893,0.029,0.847,0.053,0.869,0.037,0.958,0.009,0.932,0.013
