feature,mean_absolute_shap
Weight gain(Y/N),0.0898398736102303
Skin darkening (Y/N),0.08718535311505272
hair growth(Y/N),0.08541393171572952
Fast food (Y/N),0.04501532609376484
Cycle length(days),0.044347100339946814
Cycle(R/I),0.04339927661164954
Age (yrs),0.031531030368260216
Pimples(Y/N),0.029920087552615136
BMI,0.015601635748652143
Reg.Exercise(Y/N),0.013018706795499877
Hb(g/dl),0.011396204847795062
Hair loss(Y/N),0.008865763127590956
Pulse rate(bpm),0.008026732237306801
BP _Diastolic (mmHg),0.006071575036348217
RR (breaths/min),0.004630414493309896
No. of aborptions,0.00320665288649423
BP _Systolic (mmHg),0.002434129174434067
Pregnant(Y/N),0.002262613453631792
